"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4,C5,C6,C7","10uF","PCM_Capacitor_SMD_AKL:C_1206_3216Metric","~","7","","",""
"D1,D2","LED","LED_SMD:LED_1206_3216Metric","","2","","",""
"D3","SMAJ6.5CA","PCM_Diode_SMD_AKL:D_SMA_TVS","https://www.tme.eu/Document/dbc72d81c249fe51b6ab42300e8e06d0/SMAJ_ser.pdf","1","","",""
"F1","5V1A","PCM_4ms_Resistor:R_1206_3216Metric","~","1","","",""
"R1,R2","5.1KΩ","PCM_Resistor_SMD_AKL:R_1206_3216Metric","~","2","","",""
"U1","SL2.1A","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","https://atta.szlcsc.com/upload/public/pdf/source/20180522/C192893_624110D24898D57AAC785E3DF98EA862.pdf","1","","",""
"USB1,USB2,USB3,USB4","USB_A","Connector_USB:USB_A_TE_292303-7_Horizontal","~","4","","",""
"USB5","TYPE-C 16PIN 2MD(073)","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"X1","12Mhz","Crystal:Crystal_HC49-U_Vertical","~","1","","",""
